"industry_code","industry_title"
"2131","NAICS 2131 Support activities for mining"
"21311","NAICS 21311 Support activities for mining"
"213111","NAICS 213111 Drilling oil and gas wells"
"213112","NAICS 213112 Support activities for oil and gas operations"
"213113","NAICS 213113 Support activities for coal mining"
"213114","NAICS 213114 Support activities for metal mining"
"213115","NAICS 213115 Support activities for nonmetallic minerals"
"23","NAICS 23 Construction"
"236","NAICS 236 Construction of buildings"
"2361","NAICS 2361 Residential building construction"
"23611","NAICS 23611 Residential building construction"
"236115","NAICS 236115 New single-family general contractors"
"236116","NAICS 236116 New multifamily general contractors"
"236117","NAICS 236117 New housing for-sale builders"
"236118","NAICS 236118 Residential remodelers"
"2362","NAICS 2362 Nonresidential building construction"
"23621","NAICS 23621 Industrial building construction"
"236210","NAICS 236210 Industrial building construction"
"23622","NAICS 23622 Commercial building construction"
"236220","NAICS 236220 Commercial building construction"
"237","NAICS 237 Heavy and civil engineering construction"
"2371","NAICS 2371 Utility system construction"
"23711","NAICS 23711 Water and sewer system construction"
"237110","NAICS 237110 Water and sewer system construction"
"23712","NAICS 23712 Oil and gas pipeline construction"
"237120","NAICS 237120 Oil and gas pipeline construction"
"23713","NAICS 23713 Power and communication system construction"
"237130","NAICS 237130 Power and communication system construction"
"2372","NAICS 2372 Land subdivision"
"23721","NAICS 23721 Land subdivision"
"237210","NAICS 237210 Land subdivision"
"2373","NAICS 2373 Highway, street, and bridge construction"
"23731","NAICS 23731 Highway, street, and bridge construction"
"237310","NAICS 237310 Highway, street, and bridge construction"
"2379","NAICS 2379 Other heavy construction"
"23799","NAICS 23799 Other heavy construction"
"237990","NAICS 237990 Other heavy construction"
"238","NAICS 238 Specialty trade contractors"
"2381","NAICS 2381 Building foundation and exterior contractors"
"23811","NAICS 23811 Poured concrete structure contractors"
"238111","NAICS 238111 Residential poured foundation contractors"
"238112","NAICS 238112 Nonresidential poured foundation contractors"
"23812","NAICS 23812 Steel and precast concrete contractors"
"238121","NAICS 238121 Residential structural steel contractors"
"238122","NAICS 238122 Nonresidential structural steel contractors"
"23813","NAICS 23813 Framing contractors"
"238131","NAICS 238131 Residential framing contractors"
"238132","NAICS 238132 Nonresidential framing contractors"
"23814","NAICS 23814 Masonry contractors"
"238141","NAICS 238141 Residential masonry contractors"
"238142","NAICS 238142 Nonresidential masonry contractors"
"23815","NAICS 23815 Glass and glazing contractors"
"238151","NAICS 238151 Residential glass and glazing contractors"
"238152","NAICS 238152 Nonresidential glass and glazing contractors"
"23816","NAICS 23816 Roofing contractors"
"238161","NAICS 238161 Residential roofing contractors"
"238162","NAICS 238162 Nonresidential roofing contractors"
"23817","NAICS 23817 Siding contractors"
"238171","NAICS 238171 Residential siding contractors"
"238172","NAICS 238172 Nonresidential siding contractors"
"23819","NAICS 23819 Other building exterior contractors"
"238191","NAICS 238191 Other residential exterior contractors"
"238192","NAICS 238192 Other nonresidential exterior contractors"
"2382","NAICS 2382 Building equipment contractors"
"23821","NAICS 23821 Electrical and wiring contractors"
"238211","NAICS 238211 Residential electrical contractors"
"238212","NAICS 238212 Nonresidential electrical contractors"
"23822","NAICS 23822 Plumbing and HVAC contractors"
"238221","NAICS 238221 Residential plumbing and HVAC contractors"
"238222","NAICS 238222 Nonresidential plumbing and HVAC contractors"
"23829","NAICS 23829 Other building equipment contractors"
"238291","NAICS 238291 Other residential equipment contractors"
"238292","NAICS 238292 Other nonresidential equipment contractors"
"2383","NAICS 2383 Building finishing contractors"
"23831","NAICS 23831 Drywall and insulation contractors"
"238311","NAICS 238311 Residential drywall contractors"
"238312","NAICS 238312 Nonresidential drywall contractors"
"23832","NAICS 23832 Painting and wall covering contractors"
"238321","NAICS 238321 Residential painting contractors"
"238322","NAICS 238322 Nonresidential painting contractors"
"23833","NAICS 23833 Flooring contractors"
"238331","NAICS 238331 Residential flooring contractors"
"238332","NAICS 238332 Nonresidential flooring contractors"
"23834","NAICS 23834 Tile and terrazzo contractors"
"238341","NAICS 238341 Residential tile and terrazzo contractors"
"238342","NAICS 238342 Nonresidential tile and terrazzo contractors"
"23835","NAICS 23835 Finish carpentry contractors"
"238351","NAICS 238351 Residential finish carpentry contractors"
"238352","NAICS 238352 Nonresidential finish carpentry contractors"
"23839","NAICS 23839 Other building finishing contractors"
"238391","NAICS 238391 Other residential finishing contractors"
"238392","NAICS 238392 Other nonresidential finishing contractors"
"2389","NAICS 2389 Other specialty trade contractors"
"23891","NAICS 23891 Site preparation contractors"
"238911","NAICS 238911 Residential site preparation contractors"
"238912","NAICS 238912 Nonresidential site preparation contractors"
"23899","NAICS 23899 All other specialty trade contractors"
"238991","NAICS 238991 All other residential trade contractors"
"238992","NAICS 238992 All other nonresidential trade contractors"
"31-33","NAICS 31-33 Manufacturing"
"311","NAICS 311 Food manufacturing"
"3111","NAICS 3111 Animal food manufacturing"
"31111","NAICS 31111 Animal food manufacturing"
"311111","NAICS 311111 Dog and cat food manufacturing"
"311119","NAICS 311119 Other animal food manufacturing"
"3112","NAICS 3112 Grain and oilseed milling"
"31121","NAICS 31121 Flour milling and malt manufacturing"
"311211","NAICS 311211 Flour milling"
"311212","NAICS 311212 Rice milling"
"311213","NAICS 311213 Malt manufacturing"
"31122","NAICS 31122 Starch and vegetable oil manufacturing"
"311221","NAICS 311221 Wet corn milling"
"311222","NAICS07 311222 Soybean processing"
"311223","NAICS07 311223 Other oilseed processing"
"311224","NAICS 311224 Soybean and other oilseed processing"
"311225","NAICS 311225 Fats and oils refining and blending"
"31123","NAICS 31123 Breakfast cereal manufacturing"
"311230","NAICS 311230 Breakfast cereal manufacturing"
"3113","NAICS 3113 Sugar and confectionery product manufacturing"
"31131","NAICS 31131 Sugar manufacturing"
"311311","NAICS07 311311 Sugarcane mills"
"311312","NAICS07 311312 Cane sugar refining"
"311313","NAICS 311313 Beet sugar manufacturing"
"311314","NAICS 311314 Cane sugar manufacturing"
"31132","NAICS07 31132 Confectionery manufacturing from cacao beans"
"311320","NAICS07 311320 Confectionery manufacturing from cacao beans"
"31133","NAICS07 31133 Confectionery mfg. from purchased chocolate"
"311330","NAICS07 311330 Confectionery mfg. from purchased chocolate"
"31134","NAICS 31134 Nonchocolate confectionery manufacturing"
"311340","NAICS 311340 Nonchocolate confectionery manufacturing"
"31135","NAICS 31135 Chocolate and confectionery manufacturing"
"311351","NAICS 311351 Chocolate and confectionery mfg. from cacao"
"311352","NAICS 311352 Confectionery mfg. from purchased chocolate"
"3114","NAICS 3114 Fruit and vegetable preserving and specialty"
"31141","NAICS 31141 Frozen food manufacturing"
"311411","NAICS 311411 Frozen fruit and vegetable manufacturing"
"311412","NAICS 311412 Frozen specialty food manufacturing"
"31142","NAICS 31142 Fruit and vegetable canning and drying"
"311421","NAICS 311421 Fruit and vegetable canning"
"311422","NAICS 311422 Specialty canning"
"311423","NAICS 311423 Dried and dehydrated food manufacturing"
"3115","NAICS 3115 Dairy product manufacturing"
"31151","NAICS 31151 Dairy product, except frozen, manufacturing"
"311511","NAICS 311511 Fluid milk manufacturing"
"311512","NAICS 311512 Creamery butter manufacturing"
"311513","NAICS 311513 Cheese manufacturing"
"311514","NAICS 311514 Dry, condensed, and evaporated dairy products"
"31152","NAICS 31152 Ice cream and frozen dessert manufacturing"
"311520","NAICS 311520 Ice cream and frozen dessert manufacturing"
"3116","NAICS 3116 Animal slaughtering and processing"
"31161","NAICS 31161 Animal slaughtering and processing"
"311611","NAICS 311611 Animal, except poultry, slaughtering"
"311612","NAICS 311612 Meat processed from carcasses"
"311613","NAICS 311613 Rendering and meat byproduct processing"
"311615","NAICS 311615 Poultry processing"
"3117","NAICS 3117 Seafood product preparation and packaging"
"31171","NAICS 31171 Seafood product preparation and packaging"
"311710","NAICS 311710 Seafood product preparation and packaging"
"311711","NAICS07 311711 Seafood canning"
"311712","NAICS07 311712 Fresh and frozen seafood processing"
"3118","NAICS 3118 Bakeries and tortilla manufacturing"
"31181","NAICS 31181 Bread and bakery product manufacturing"
"311811","NAICS 311811 Retail bakeries"
"311812","NAICS 311812 Commercial bakeries"
"311813","NAICS 311813 Frozen cakes and other pastries manufacturing"
"31182","NAICS 31182 Cookie, cracker, and pasta manufacturing"
"311821","NAICS 311821 Cookie and cracker manufacturing"
"311822","NAICS07 311822 Mixes and dough made from purchased flour"
"311823","NAICS07 311823 Dry pasta manufacturing"
"311824","NAICS 311824 Pasta, dough and mixes from purchased flour"
"31183","NAICS 31183 Tortilla manufacturing"
"311830","NAICS 311830 Tortilla manufacturing"
"3119","NAICS 3119 Other food manufacturing"
"31191","NAICS 31191 Snack food manufacturing"
"311911","NAICS 311911 Roasted nuts and peanut butter manufacturing"
"311919","NAICS 311919 Other snack food manufacturing"
"31192","NAICS 31192 Coffee and tea manufacturing"
"311920","NAICS 311920 Coffee and tea manufacturing"
"31193","NAICS 31193 Flavoring syrup and concentrate manufacturing"
"311930","NAICS 311930 Flavoring syrup and concentrate manufacturing"
"31194","NAICS 31194 Seasoning and dressing manufacturing"
"311941","NAICS 311941 Mayonnaise, dressing, and sauce manufacturing"
"311942","NAICS 311942 Spice and extract manufacturing"
"31199","NAICS 31199 All other food manufacturing"
"311991","NAICS 311991 Perishable prepared food manufacturing"
"311999","NAICS 311999 All other miscellaneous food manufacturing"
"312","NAICS 312 Beverage and tobacco product manufacturing"
"3121","NAICS 3121 Beverage manufacturing"
"31211","NAICS 31211 Soft drink and ice manufacturing"
"312111","NAICS 312111 Soft drink manufacturing"
"312112","NAICS 312112 Bottled water manufacturing"
"312113","NAICS 312113 Ice manufacturing"
"31212","NAICS 31212 Breweries"
"312120","NAICS 312120 Breweries"
"31213","NAICS 31213 Wineries"
"312130","NAICS 312130 Wineries"
"31214","NAICS 31214 Distilleries"
"312140","NAICS 312140 Distilleries"
"3122","NAICS 3122 Tobacco manufacturing"
"31221","NAICS07 31221 Tobacco stemming and redrying"
"312210","NAICS07 312210 Tobacco stemming and redrying"
"31222","NAICS07 31222 Tobacco product manufacturing"
"312221","NAICS07 312221 Cigarette manufacturing"
"312229","NAICS07 312229 Other tobacco product manufacturing"
"31223","NAICS 31223 Tobacco manufacturing"
"312230","NAICS 312230 Tobacco manufacturing"
"313","NAICS 313 Textile mills"
"3131","NAICS 3131 Fiber, yarn, and thread mills"
"31311","NAICS 31311 Fiber, yarn, and thread mills"
"313110","NAICS 313110 Fiber, yarn, and thread mills"
"313111","NAICS07 313111 Yarn spinning mills"
"313112","NAICS07 313112 Yarn texturizing and twisting mills"
"313113","NAICS07 313113 Thread mills"
"3132","NAICS 3132 Fabric mills"
"31321","NAICS 31321 Broadwoven fabric mills"
"313210","NAICS 313210 Broadwoven fabric mills"
"31322","NAICS 31322 Narrow fabric mills and schiffli embroidery"
"313220","NAICS 313220 Narrow fabric mills and schiffli embroidery"
"313221","NAICS07 313221 Narrow fabric mills"
"313222","NAICS07 313222 Schiffli machine embroidery"
"31323","NAICS 31323 Nonwoven fabric mills"
"313230","NAICS 313230 Nonwoven fabric mills"
"31324","NAICS 31324 Knit fabric mills"
"313240","NAICS 313240 Knit fabric mills"
"313241","NAICS07 313241 Weft knit fabric mills"
"313249","NAICS07 313249 Other knit fabric and lace mills"
"3133","NAICS 3133 Textile and fabric finishing mills"
"31331","NAICS 31331 Textile and fabric finishing mills"
"313310","NAICS 313310 Textile and fabric finishing mills"
"313311","NAICS07 313311 Broadwoven fabric finishing mills"
"313312","NAICS07 313312 Other textile and fabric finishing mills"
"31332","NAICS 31332 Fabric coating mills"
"313320","NAICS 313320 Fabric coating mills"
"314","NAICS 314 Textile product mills"
"3141","NAICS 3141 Textile furnishings mills"
"31411","NAICS 31411 Carpet and rug mills"
"314110","NAICS 314110 Carpet and rug mills"
"31412","NAICS 31412 Curtain and linen mills"
"314120","NAICS 314120 Curtain and linen mills"
"314121","NAICS07 314121 Curtain and drapery mills"
"314129","NAICS07 314129 Other household textile product mills"
"3149","NAICS 3149 Other textile product mills"
"31491","NAICS 31491 Textile bag and canvas mills"
"314910","NAICS 314910 Textile bag and canvas mills"
"314911","NAICS07 314911 Textile bag mills"
"314912","NAICS07 314912 Canvas and related product mills"
"31499","NAICS 31499 All other textile product mills"
"314991","NAICS07 314991 Rope, cordage, and twine mills"
"314992","NAICS07 314992 Tire cord and tire fabric mills"
"314994","NAICS 314994 Rope, twine, tire cord and tire fabric mills"
"314999","NAICS 314999 All other miscellaneous textile product mills"
"315","NAICS 315 Apparel manufacturing"
"3151","NAICS 3151 Apparel knitting mills"
"31511","NAICS 31511 Hosiery and sock mills"
"315110","NAICS 315110 Hosiery and sock mills"
"315111","NAICS07 315111 Sheer hosiery mills"
"315119","NAICS07 315119 Other hosiery and sock mills"
"31519","NAICS 31519 Other apparel knitting mills"
"315190","NAICS 315190 Other apparel knitting mills"
"315191","NAICS07 315191 Outerwear knitting mills"
"315192","NAICS07 315192 Underwear and nightwear knitting mills"
"3152","NAICS 3152 Cut and sew apparel manufacturing"
"31521","NAICS 31521 Cut and sew apparel contractors"
"315210","NAICS 315210 Cut and sew apparel contractors"
"315211","NAICS07 315211 Men's and boys' apparel contractors"
"315212","NAICS07 315212 Women's, girls', infants' apparel contractors"
"31522","NAICS 31522 Men's and boys' cut and sew apparel mfg"
"315220","NAICS 315220 Men's and boys' cut and sew apparel mfg"
"315221","NAICS07 315221 Men's and boys' underwear and nightwear mfg"
"315222","NAICS07 315222 Men's and boys' suit, coat, and overcoat mfg"
"315223","NAICS07 315223 Men's and boys' shirt, except work shirt, mfg"
"315224","NAICS07 315224 Men's and boys' pants, except work pants, mfg"
"315225","NAICS07 315225 Men's and boys' work clothing manufacturing"
"315228","NAICS07 315228 Other men's and boys' outerwear manufacturing"
"31523","NAICS07 31523 Women's and girls' cut and sew apparel mfg"
"315231","NAICS07 315231 Women's and girls' lingerie and nightwear mfg"
"315232","NAICS07 315232 Women's and girls' blouse and shirt mfg"
"315233","NAICS07 315233 Women's and girls' dress manufacturing"
"315234","NAICS07 315234 Women's and girls' suit, coat, and skirt mfg"
"315239","NAICS07 315239 Other women's and girls' outerwear mfg"
"31524","NAICS 31524 Women's, girls', infants' cut-sew apparel mfg"
"315240","NAICS 315240 Women's, girls', infants' cut-sew apparel mfg"
"31528","NAICS 31528 Other cut and sew apparel manufacturing"
"315280","NAICS 315280 Other cut and sew apparel manufacturing"
"31529","NAICS07 31529 Other cut and sew apparel manufacturing"
"315291","NAICS07 315291 Infants' cut and sew apparel manufacturing"
"315292","NAICS07 315292 Fur and leather apparel manufacturing"
"315299","NAICS07 315299 All other cut and sew apparel manufacturing"
"3159","NAICS 3159 Accessories and other apparel manufacturing"
"31599","NAICS 31599 Accessories and other apparel manufacturing"
"315990","NAICS 315990 Accessories and other apparel manufacturing"
"315991","NAICS07 315991 Hat, cap, and millinery manufacturing"
"315992","NAICS07 315992 Glove and mitten manufacturing"
"315993","NAICS07 315993 Men's and boys' neckwear manufacturing"
"315999","NAICS07 315999 All other accessory and apparel manufacturing"
"316","NAICS 316 Leather and allied product manufacturing"
"3161","NAICS 3161 Leather and hide tanning and finishing"
"31611","NAICS 31611 Leather and hide tanning and finishing"
"316110","NAICS 316110 Leather and hide tanning and finishing"
"3162","NAICS 3162 Footwear manufacturing"
"31621","NAICS 31621 Footwear manufacturing"
"316210","NAICS 316210 Footwear manufacturing"
"316211","NAICS07 316211 Rubber and plastics footwear manufacturing"
"316212","NAICS07 316212 House slipper manufacturing"
"316213","NAICS07 316213 Men's nonathletic footwear manufacturing"
"316214","NAICS07 316214 Women's nonathletic footwear manufacturing"
"316219","NAICS07 316219 Other footwear manufacturing"
"3169","NAICS 3169 Other leather product manufacturing"
"31699","NAICS 31699 Other leather product manufacturing"
"316991","NAICS07 316991 Luggage manufacturing"
"316992","NAICS 316992 Women's handbag and purse manufacturing"
"316993","NAICS07 316993 Other personal leather good manufacturing"
"316998","NAICS 316998 All other leather and allied good mfg."
"316999","NAICS07 316999 All other leather and allied good mfg."
"321","NAICS 321 Wood product manufacturing"
"3211","NAICS 3211 Sawmills and wood preservation"
"32111","NAICS 32111 Sawmills and wood preservation"
"321113","NAICS 321113 Sawmills"
"321114","NAICS 321114 Wood preservation"
"3212","NAICS 3212 Plywood and engineered wood product mfg."
"32121","NAICS 32121 Plywood and engineered wood product mfg."
"321211","NAICS 321211 Hardwood veneer and plywood manufacturing"
"321212","NAICS 321212 Softwood veneer and plywood manufacturing"
"321213","NAICS 321213 Engineered wood member manufacturing"
"321214","NAICS 321214 Truss manufacturing"
"321219","NAICS 321219 Reconstituted wood product manufacturing"
"3219","NAICS 3219 Other wood product manufacturing"
"32191","NAICS 32191 Millwork"
"321911","NAICS 321911 Wood window and door manufacturing"
"321912","NAICS 321912 Cut stock, resawing lumber, and planing"
"321918","NAICS 321918 Other millwork, including flooring"
"32192","NAICS 32192 Wood container and pallet manufacturing"
"321920","NAICS 321920 Wood container and pallet manufacturing"
"32199","NAICS 32199 All other wood product manufacturing"
"321991","NAICS 321991 Manufactured home, mobile home, manufacturing"
"321992","NAICS 321992 Prefabricated wood building manufacturing"
"321999","NAICS 321999 Miscellaneous wood product manufacturing"
"322","NAICS 322 Paper manufacturing"
"3221","NAICS 3221 Pulp, paper, and paperboard mills"
"32211","NAICS 32211 Pulp mills"
"322110","NAICS 322110 Pulp mills"
"32212","NAICS 32212 Paper mills"
"322121","NAICS 322121 Paper, except newsprint, mills"
"322122","NAICS 322122 Newsprint mills"
"32213","NAICS 32213 Paperboard mills"
"322130","NAICS 322130 Paperboard mills"
"3222","NAICS 3222 Converted paper product manufacturing"
"32221","NAICS 32221 Paperboard container manufacturing"
"322211","NAICS 322211 Corrugated and solid fiber box manufacturing"
"322212","NAICS 322212 Folding paperboard box manufacturing"
"322213","NAICS07 322213 Setup paperboard box manufacturing"
"322214","NAICS07 322214 Fiber can, tube, and drum manufacturing"
"322215","NAICS07 322215 Nonfolding sanitary food container mfg."
"322219","NAICS 322219 Other paperboard container manufacturing"
"32222","NAICS 32222 Paper bag and coated and treated paper mfg."
"322220","NAICS 322220 Paper bag and coated and treated paper mfg."
"322221","NAICS07 322221 Coated and laminated packaging paper mfg."
"322222","NAICS07 322222 Coated and laminated paper manufacturing"
"322223","NAICS07 322223 Coated paper bag and pouch manufacturing"
"322224","NAICS07 322224 Uncoated paper and multiwall bag mfg."
"322225","NAICS07 322225 Flexible packaging foil manufacturing"
"322226","NAICS07 322226 Surface-coated paperboard manufacturing"
"32223","NAICS 32223 Stationery product manufacturing"
"322230","NAICS 322230 Stationery product manufacturing"
"322231","NAICS07 322231 Die-cut paper office supplies manufacturing"
"322232","NAICS07 322232 Envelope manufacturing"
"322233","NAICS07 322233 Stationery and related product manufacturing"
"32229","NAICS 32229 Other converted paper product manufacturing"
"322291","NAICS 322291 Sanitary paper product manufacturing"
"322299","NAICS 322299 All other converted paper product mfg."
"323","NAICS 323 Printing and related support activities"
"3231","NAICS 3231 Printing and related support activities"
"32311","NAICS 32311 Printing"
"323110","NAICS07 323110 Commercial lithographic printing"
"323111","NAICS 323111 Commercial printing, except screen and books"
"323112","NAICS07 323112 Commercial flexographic printing"
"323113","NAICS 323113 Commercial screen printing"
"323114","NAICS07 323114 Quick printing"
"323115","NAICS07 323115 Digital printing"
"323116","NAICS07 323116 Manifold business forms printing"
"323117","NAICS 323117 Books printing"
"323118","NAICS07 323118 Blankbook and looseleaf binder manufacturing"
"323119","NAICS07 323119 Other commercial printing"
"32312","NAICS 32312 Support activities for printing"
"323120","NAICS 323120 Support activities for printing"
"323121","NAICS07 323121 Tradebinding and related work"
"323122","NAICS07 323122 Prepress services"
"324","NAICS 324 Petroleum and coal products manufacturing"
"3241","NAICS 3241 Petroleum and coal products manufacturing"
